time(ms),T1,R1,T2,R2,,
704.24,103.59,9.61,103.17,9.81,,
704.25,103.64,9.61,103.11,9.81,,
704.28,103.44,9.6,103.07,9.8,,
704.29,103.48,9.6,103.14,9.8,,
704.32,103.4,9.73,103.14,9.79,,
704.33,103.45,9.73,102.99,9.79,,
704.36,103.24,9.62,103.14,9.81,,
704.37,103.73,9.62,102.95,9.81,,
704.39,103.62,9.61,103.22,9.71,,
704.41,103.47,9.61,103.31,9.71,,
704.43,103.64,9.73,103.34,9.79,,
704.44,103.45,9.73,103.24,9.79,,
704.47,103.62,9.61,102.95,9.8,,
704.48,103.6,9.61,103.36,9.8,,
704.51,103.64,9.74,103.15,9.8,,
704.52,103.47,9.74,103.14,9.8,,
704.55,103.6,9.61,103.15,9.8,,
704.56,103.84,9.61,102.95,9.8,,
704.59,103.5,9.61,103.37,9.8,,
704.6,103.64,9.61,103.14,9.8,,
704.62,103.44,9.73,103.12,9.79,,
704.63,103.6,9.73,103.34,9.79,,
704.66,103.4,9.61,103.15,9.81,,
704.67,103.45,9.61,103.31,9.81,,
704.7,103.42,9.6,103.34,9.71,,
704.71,103.64,9.6,103.14,9.71,,
704.74,103.79,9.73,103.12,9.79,,
704.75,103.65,9.73,103.34,9.79,,
704.78,103.67,9.61,103.12,9.81,,
704.79,103.62,9.61,103.24,9.81,,
704.81,103.59,9.74,103.36,9.8,,
704.83,103.84,9.74,103.14,9.8,,
704.85,103.59,9.61,103.36,9.8,,
704.86,103.64,9.61,103.32,9.8,,
704.89,103.84,9.61,103.27,9.8,,
704.9,103.8,9.61,103.15,9.8,,
704.93,103.64,9.73,103.15,9.79,,
704.94,103.84,9.73,103.37,9.79,,
704.97,103.8,9.62,103.34,9.81,,
704.98,103.82,9.62,103.15,9.81,,
705,103.8,9.61,103.17,9.8,,
705.02,103.87,9.61,102.97,9.8,,
705.04,103.85,9.72,103.51,9.78,,
705.05,103.88,9.72,103.32,9.78,,
705.08,104.11,9.74,103.32,9.8,,
705.09,103.84,9.74,103.15,9.8,,
705.12,103.8,9.74,103.31,9.81,,
705.13,104.02,9.74,103.52,9.81,,
705.16,103.84,9.74,103.37,9.71,,
705.17,104,9.74,103.52,9.71,,
705.2,104,9.74,103.34,9.8,,
705.21,103.87,9.74,103.15,9.8,,
705.23,103.82,9.74,103.49,9.8,,
705.25,103.87,9.74,103.32,9.8,,
705.27,103.65,9.6,103.51,9.8,,
705.28,103.82,9.6,103.32,9.8,,
705.31,103.82,9.74,103.34,9.8,,
705.32,103.65,9.74,103.64,9.8,,
705.35,103.84,9.61,103.51,9.8,,
705.36,103.84,9.61,103.51,9.8,,
705.39,103.82,9.73,103.37,9.8,,
705.4,103.85,9.73,103.31,9.8,,
705.42,103.62,9.74,103.36,9.8,,
705.44,103.77,9.74,103.34,9.8,,
705.46,103.84,9.61,103.32,9.8,,
705.47,104.02,9.61,103.36,9.8,,
705.5,103.68,9.61,103.34,9.8,,
705.51,103.65,9.61,103.51,9.8,,
705.54,103.6,9.73,103.37,9.79,,
705.55,103.64,9.73,103.51,9.79,,
705.58,103.6,9.61,103.34,9.8,,
705.59,103.77,9.61,103.34,9.8,,
705.61,103.59,9.74,103.34,9.8,,
705.63,103.67,9.74,103.52,9.8,,
705.65,103.62,9.61,103.54,9.8,,
705.66,103.68,9.61,103.36,9.8,,
705.69,103.79,9.61,103.36,9.81,,
705.7,103.64,9.61,103.39,9.81,,
705.73,103.7,9.73,103.36,9.79,,
705.74,103.67,9.73,103.52,9.79,,
705.77,103.85,9.61,103.14,9.81,,
705.78,104,9.61,103.4,9.81,,
705.8,103.77,9.74,103.6,9.8,,
705.82,103.65,9.74,103.36,9.8,,
705.84,103.79,9.74,103.51,9.81,,
705.85,103.82,9.74,103.32,9.81,,
705.88,103.84,9.61,103.71,9.8,,
705.89,103.87,9.61,103.52,9.8,,
705.92,103.84,9.74,103.34,9.71,,
705.93,103.8,9.74,103.52,9.71,,
705.96,104,9.61,103.32,9.71,,
705.97,103.67,9.61,103.52,9.71,,
706,103.88,9.6,103.76,9.8,,
706.01,103.84,9.6,103.54,9.8,,
706.03,103.65,9.72,103.56,9.79,,
706.05,103.93,9.72,103.56,9.79,,
706.07,103.8,9.74,103.56,9.8,,
706.08,103.84,9.74,103.52,9.8,,
706.11,103.99,9.61,103.54,9.8,,
706.12,103.84,9.61,103.51,9.8,,
706.15,103.79,9.6,103.34,9.8,,
706.16,103.8,9.6,103.36,9.8,,
706.19,103.79,9.73,103.52,9.79,,
706.2,103.84,9.73,103.72,9.79,,
706.22,103.79,9.61,103.51,9.81,,
706.24,104.03,9.61,103.52,9.81,,
706.26,103.79,9.6,103.56,9.79,,
706.27,103.84,9.6,103.74,9.79,,
706.3,103.84,9.73,103.34,9.79,,
706.31,103.99,9.73,103.54,9.79,,
706.34,103.65,9.76,103.51,9.81,,
706.35,103.87,9.76,103.56,9.81,,
706.38,103.8,9.61,103.51,9.81,,
706.39,104.03,9.61,103.36,9.81,,
706.41,103.97,9.61,103.57,9.8,,
706.43,103.87,9.61,103.37,9.8,,
706.45,103.97,9.73,103.54,9.79,,
706.47,104.02,9.73,103.69,9.79,,
706.49,104.02,9.61,103.52,9.8,,
706.5,104.05,9.61,103.37,9.8,,
706.53,104.23,9.73,103.49,9.79,,
706.54,104.02,9.73,103.54,9.79,,
706.57,104.14,9.74,103.51,9.81,,
706.58,103.85,9.74,103.56,9.81,,
706.61,104.03,9.74,103.52,9.8,,
706.62,104.05,9.74,103.71,9.8,,
706.65,104,9.74,103.52,9.8,,
706.66,104,9.74,103.72,9.8,,
706.68,103.8,9.61,103.82,9.8,,
706.7,104.05,9.61,103.49,9.8,,
706.72,104,9.74,103.36,9.8,,
706.73,103.97,9.74,103.56,9.8,,
706.76,104.02,9.61,103.77,9.8,,
706.77,104.02,9.61,103.74,9.8,,
706.8,103.99,9.61,103.56,9.8,,
706.81,104.05,9.61,103.72,9.8,,
706.84,103.82,9.72,103.56,9.79,,
706.85,103.87,9.72,103.71,9.79,,
706.87,104,9.74,103.72,9.8,,
706.89,104.05,9.74,103.71,9.8,,
706.91,104.19,9.61,103.52,9.81,,
706.92,104.19,9.61,103.74,9.81,,
706.95,104,9.61,103.54,9.8,,
706.96,104.05,9.61,103.56,9.8,,
706.99,103.97,9.73,103.76,9.79,,
707,103.84,9.73,103.79,9.79,,
707.03,103.84,9.61,103.54,9.8,,
707.04,104.03,9.61,103.56,9.8,,
707.06,104,9.73,103.8,9.71,,
707.08,103.85,9.73,103.71,9.71,,
707.1,103.99,9.74,103.74,9.81,,
707.11,103.84,9.74,103.52,9.81,,
707.14,104.17,9.74,103.74,9.81,,
707.15,104.05,9.74,103.56,9.81,,
707.18,104.03,9.74,103.71,9.8,,
707.19,104,9.74,103.94,9.8,,
707.22,103.87,9.61,103.72,9.8,,
707.23,104.22,9.61,103.76,9.8,,
707.26,104.05,9.74,103.74,9.81,,
707.27,103.88,9.74,103.69,9.81,,
707.29,104,9.73,103.74,9.71,,
707.3,104.19,9.73,103.56,9.71,,
707.33,103.85,9.74,103.56,9.8,,
707.34,104.03,9.74,103.93,9.8,,
707.37,103.99,9.6,103.76,9.8,,
707.38,104.03,9.6,103.79,9.8,,
707.41,103.8,9.6,103.74,9.8,,
707.42,103.88,9.6,103.74,9.8,,
707.45,104.05,9.73,103.72,9.79,,
707.46,104,9.73,103.76,9.79,,
707.48,103.99,9.61,103.74,9.81,,
707.5,103.88,9.61,103.74,9.81,,
707.52,103.77,9.73,103.72,9.8,,
707.53,103.85,9.73,103.93,9.8,,
707.56,104.2,9.74,103.85,9.81,,
707.57,103.85,9.74,103.94,9.81,,
707.6,104.02,9.61,103.91,9.81,,
707.61,104.03,9.61,103.96,9.81,,
707.64,103.99,9.74,103.91,9.71,,
707.65,103.85,9.74,103.8,9.71,,
707.67,103.95,9.74,103.94,9.81,,
707.69,103.84,9.74,103.93,9.81,,
707.71,104.02,9.74,103.8,9.8,,
707.72,103.85,9.74,103.94,9.8,,
707.75,103.79,9.6,103.56,9.8,,
707.76,104.03,9.6,103.76,9.8,,
707.79,103.82,9.61,103.72,9.8,,
707.8,103.85,9.61,103.74,9.8,,
707.83,103.82,9.72,103.74,9.79,,
707.84,103.99,9.72,103.93,9.79,,
707.86,103.8,9.61,103.91,9.81,,
707.88,103.82,9.61,103.72,9.81,,
707.9,104,9.73,103.72,9.79,,
707.91,104,9.73,103.91,9.79,,
707.94,104.19,9.61,103.74,9.8,,
707.95,103.92,9.61,103.72,9.8,,
707.98,104.02,9.73,103.74,9.8,,
707.99,103.79,9.73,103.72,9.8,,
708.02,103.84,9.74,103.52,9.8,,
708.03,103.93,9.74,103.74,9.8,,
708.06,103.82,9.61,103.84,9.81,,
708.07,104.05,9.61,103.91,9.81,,
708.09,103.99,9.61,103.76,9.8,,
708.11,104.07,9.61,103.74,9.8,,
708.13,104.2,9.73,103.94,9.79,,
708.15,104,9.73,103.77,9.79,,
708.17,104.03,9.61,103.89,9.71,,
708.18,104.07,9.61,103.77,9.71,,
708.21,103.9,9.73,103.94,9.8,,
708.22,104.22,9.73,103.91,9.8,,
708.25,103.77,9.74,103.93,9.81,,
708.26,104.2,9.74,103.97,9.81,,
708.28,104,9.61,103.77,9.81,,
708.3,104.23,9.61,103.94,9.81,,
708.32,104.2,9.61,103.93,9.8,,
708.34,103.84,9.61,103.79,9.8,,
708.36,103.99,9.73,103.74,9.79,,
708.37,104.25,9.73,103.94,9.79,,
708.4,104.05,9.61,103.94,9.8,,
708.41,104.03,9.61,103.54,9.8,,
708.44,104,9.73,103.74,9.79,,
708.45,103.82,9.73,103.76,9.79,,
708.48,103.99,9.62,104.09,9.81,,
708.49,103.87,9.62,103.74,9.81,,
708.51,103.99,9.61,103.94,9.8,,
708.53,103.84,9.61,103.74,9.8,,
708.55,104.05,9.72,104.11,9.79,,
708.56,104.07,9.72,103.74,9.79,,
708.59,104.2,9.74,104.05,9.8,,
708.6,104.22,9.74,103.94,9.8,,
708.63,103.8,9.74,103.94,9.81,,
708.64,104.07,9.74,103.99,9.81,,
708.67,104.22,9.74,103.96,9.8,,
708.68,104.05,9.74,103.93,9.8,,
708.71,104,9.74,103.74,9.71,,
708.72,104.22,9.74,103.93,9.71,,
708.74,104,9.74,103.94,9.8,,
708.76,104.07,9.74,103.93,9.8,,
708.78,103.99,9.73,103.93,9.8,,
708.79,104.08,9.73,103.91,9.8,,
708.82,104.03,9.6,103.74,9.8,,
708.83,104.19,9.6,103.94,9.8,,
708.86,104.17,9.74,104.11,9.8,,
708.87,104.02,9.74,103.94,9.8,,
708.9,104.03,9.6,103.8,9.8,,
708.91,103.88,9.6,103.93,9.8,,
708.93,104.02,9.73,103.96,9.79,,
708.95,103.73,9.73,104.11,9.79,,
708.97,104,9.61,104.02,9.8,,
708.98,104,9.61,103.68,9.8,,
709.01,103.82,9.74,103.94,9.8,,
709.02,104.07,9.74,104.07,9.8,,
709.05,103.97,9.74,104.13,9.81,,
709.06,104.05,9.74,103.93,9.81,,
709.09,104.2,9.74,103.94,9.8,,
709.1,103.84,9.74,104.14,9.8,,
709.13,103.85,9.6,103.94,9.8,,
709.14,104.05,9.6,103.94,9.8,,
709.16,104,9.74,104.11,9.81,,
709.17,104.07,9.74,104.11,9.81,,
709.2,103.82,9.61,103.94,9.81,,
709.21,104,9.61,103.94,9.81,,
709.24,104.02,9.74,103.94,9.8,,
709.25,103.87,9.74,104.02,9.8,,
709.28,103.85,9.61,103.94,9.8,,
709.29,104.03,9.61,103.96,9.8,,
709.32,104,9.61,103.89,9.8,,
709.33,104.03,9.61,103.93,9.8,,
709.35,104.2,9.72,103.76,9.79,,
709.36,104.02,9.72,103.97,9.79,,
709.39,103.8,9.61,103.94,9.81,,
709.4,104.07,9.61,103.94,9.81,,
709.43,104.02,9.73,103.94,9.8,,
709.44,103.99,9.73,103.94,9.8,,
709.47,104,9.74,103.91,9.8,,
709.48,104.03,9.74,103.94,9.8,,
709.51,103.8,9.62,103.87,9.81,,
709.52,104.03,9.62,103.93,9.81,,
709.54,104.19,9.74,103.94,9.8,,
709.56,103.85,9.74,103.96,9.8,,
709.58,104,9.61,103.77,9.8,,
709.59,104.08,9.61,103.94,9.8,,
709.62,103.84,9.61,104.16,9.71,,
709.63,103.84,9.61,103.94,9.71,,
709.66,104.05,9.72,104.11,9.79,,
709.67,104.11,9.72,103.94,9.79,,
709.7,104.27,9.61,103.97,9.72,,
709.71,104,9.61,104.13,9.72,,
709.73,103.82,9.73,103.94,9.8,,
709.75,104.13,9.73,103.96,9.8,,
709.77,104.15,9.74,104.14,9.81,,
709.78,104.05,9.74,104.13,9.81,,
709.81,104,9.74,103.93,9.72,,
709.82,104.02,9.74,103.79,9.72,,
709.85,103.99,9.61,103.93,9.8,,
709.86,104.33,9.61,103.96,9.8,,
709.89,104,9.61,103.97,9.8,,
709.9,104.22,9.61,103.96,9.8,,
709.92,104.05,9.73,103.93,9.79,,
709.94,104.07,9.73,104.16,9.79,,
709.96,104,9.74,103.96,9.8,,
709.97,104.05,9.74,103.93,9.8,,
710,104.03,9.61,104.05,9.8,,
710.01,104.03,9.61,103.94,9.8,,
710.04,104,9.74,103.96,9.8,,
710.05,104,9.74,103.94,9.8,,
710.08,104.22,9.61,103.94,9.8,,
710.09,104.2,9.61,103.93,9.8,,
710.11,104,9.61,103.94,9.8,,
710.13,104.05,9.61,103.94,9.8,,
710.15,104,9.72,104.11,9.79,,
710.16,104.2,9.72,104.14,9.79,,
710.19,104.07,9.61,104.11,9.81,,
710.2,104.23,9.61,104.11,9.81,,
710.23,104.05,9.73,104.14,9.8,,
710.24,104.05,9.73,103.99,9.8,,
710.27,104.19,9.74,104.11,9.8,,
710.28,104.03,9.74,103.93,9.8,,
710.3,104.03,9.74,104.16,9.81,,
710.32,104,9.74,103.76,9.81,,
710.34,104,9.74,103.96,9.8,,
710.35,104.23,9.74,104.14,9.8,,
710.38,104.19,9.61,103.79,9.8,,
710.39,104.1,9.61,103.96,9.8,,
710.42,104.2,9.61,103.94,9.8,,
710.43,104.05,9.61,104.14,9.8,,
710.46,104.03,9.72,104.13,9.79,,
710.47,104.25,9.72,104.13,9.79,,
710.5,104,9.61,103.97,9.81,,
710.51,104.05,9.61,104.13,9.81,,
710.53,104.22,9.6,104.21,9.79,,
710.54,104.02,9.6,104.16,9.79,,
710.57,104.17,9.73,103.96,9.8,,
710.58,104.08,9.73,104.05,9.8,,
710.61,104.19,9.61,104.13,9.81,,
710.62,104.23,9.61,104.14,9.81,,
710.65,104.17,9.74,103.94,9.8,,
710.66,104.25,9.74,104.14,9.8,,
710.69,104.4,9.61,104.01,9.8,,
710.7,104.23,9.61,103.96,9.8,,
710.72,104.42,9.74,104.11,9.8,,
710.73,104.2,9.74,104.14,9.8,,
710.76,104.19,9.74,103.94,9.8,,
710.77,104.27,9.74,104.13,9.8,,
710.8,104.23,9.61,104.11,9.8,,
710.81,104.23,9.61,103.96,9.8,,
710.84,104.38,9.61,104.24,9.8,,
710.85,104.46,9.61,104.11,9.8,,
710.88,104.4,9.73,104.11,9.79,,
710.89,104.4,9.73,104.13,9.79,,
710.91,104.38,9.74,104.13,9.8,,
710.92,104.43,9.74,104.31,9.8,,
710.95,104.45,9.61,104.16,9.81,,
710.96,104.23,9.61,104.13,9.81,,
710.99,104.23,9.61,104.29,9.8,,
711,104.35,9.61,104.16,9.8,,
711.03,104.37,9.73,104.14,9.79,,
711.04,104.22,9.73,104.11,9.79,,
711.07,104.42,9.74,104.14,9.72,,
711.08,104.3,9.74,104.16,9.72,,
711.1,104.42,9.76,104.22,9.81,,
711.11,104.25,9.76,104.13,9.81,,
711.14,104.22,9.74,104.14,9.8,,
711.15,104.25,9.74,104.27,9.8,,
711.18,104.42,9.74,104.13,9.81,,
711.19,104.42,9.74,104.16,9.81,,
711.22,104.25,9.6,104.16,9.8,,
711.23,104.27,9.6,104.09,9.8,,
711.26,104.42,9.73,104.16,9.8,,
711.27,104.27,9.73,104.33,9.8,,
711.29,104.51,9.74,104.31,9.8,,
711.31,104.4,9.74,104.33,9.8,,
711.33,104.38,9.6,104.16,9.8,,
711.34,104.42,9.6,104.13,9.8,,
