Time,RTD0,HTR0,RTD1,HTR1,scaledCurrent0,scaledCurrent1,drive_%_0,drive_%_1,setpoint,err count
8.120000,34.910000,85.400000,34.920000,89.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.120000,34.910000,85.400000,34.920000,89.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.130000,34.910000,85.400000,34.920000,89.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.130000,34.910000,85.400000,34.920000,89.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.140000,34.910000,85.400000,34.920000,89.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.140000,34.910000,85.400000,34.920000,89.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.150000,34.910000,85.400000,34.920000,89.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.150000,34.910000,85.400000,34.920000,89.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.150000,34.910000,85.400000,34.920000,89.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.160000,34.910000,85.400000,34.920000,89.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.180000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.180000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.180000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.190000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.190000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.190000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.200000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.200000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.210000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.210000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.220000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.220000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.230000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.230000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.240000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.240000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.250000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.250000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.250000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.260000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.260000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.270000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.270000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.280000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.280000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.290000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.290000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.300000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.300000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.310000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.310000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.310000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.320000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.320000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
